index,open,high,low,close,volume,amount,date
1,4243.09,4330.562,4218.596,4310.693,74310118400,320328107216051.2,2015-01-05
2,4280.133,4348.266,4255.393,4338.934,70551961600,306120304952934.44,2015-01-06
3,4322.457,4355.395,4299.121,4341.894,55314515200,240169761659788.8,2015-01-07
4,4344.203,4351.56,4263.701,4277.761,52778531200,225773942404643.22,2015-01-08
5,4264.036,4375.972,4253.511,4257.059,56466144000,240379706510496.0,2015-01-09
6,4238.436,4254.431,4167.461,4209.383,45505353600,191549461852828.78,2015-01-12
7,4204.236,4252.942,4202.853,4236.69,34975360000,148179757958400.0,2015-01-13
8,4242.146,4260.34,4191.827,4220.656,35525577600,149941242250905.6,2015-01-14
9,4219.933,4304.687,4211.029,4304.687,39627587200,170584359461206.4,2015-01-15
10,4315.204,4365.769,4308.692,4349.651,47692697600,207446589808537.6,2015-01-16
11,4158.213,4244.645,4064.532,4102.099,58405708800,239585999662771.22,2015-01-19
12,4096.624,4197.626,4096.624,4196.971,52570723200,220637800719427.2,2015-01-20
13,4218.969,4347.107,4215.296,4342.22,61021792000,264970045658240.0,2015-01-21
14,4345.708,4390.163,4327.677,4385.058,53526777600,234718024329100.8,2015-01-22
15,4397.304,4421.363,4347.055,4368.623,53887398400,235413728060403.2,2015-01-23
16,4376.606,4436.849,4370.445,4435.868,49087628800,217746241789798.4,2015-01-26
17,4443.05,4451.141,4350.414,4425.595,56966259200,252109591884224.0,2015-01-27
18,4402.647,4437.592,4370.17,4383.216,46217632000,202581864064512.03,2015-01-28
19,4335.368,4368.127,4315.314,4342.749,42449699200,184348388751100.78,2015-01-29
20,4354.427,4372.579,4287.778,4287.844,40660854400,174347400573913.6,2015-01-30
21,4218.589,4274.214,4203.896,4227.981,37727859200,159512671868275.2,2015-02-02
22,4255.151,4318.583,4244.735,4317.458,38800886400,167521197394771.2,2015-02-03
23,4326.768,4354.006,4288.922,4290.962,39905251200,171231916499654.4,2015-02-04
24,4362.555,4363.659,4261.616,4261.616,47565315200,202705108301363.2,2015-02-05
25,4246.732,4259.057,4160.421,4184.678,38874073600,162675480564300.78,2015-02-06
26,4175.8,4220.654,4168.543,4192.663,31972243200,134048841091641.58,2015-02-09
27,4190.521,4258.277,4186.52,4257.965,29451526400,125403568607776.0,2015-02-10
28,4266.479,4307.676,4265.13,4300.678,29463478400,126712933358355.2,2015-02-11
29,4303.293,4331.153,4285.809,4323.557,32101100800,138790939071545.6,2015-02-12
30,4343.351,4405.299,4343.351,4376.232,41973840000,183687261770880.0,2015-02-13
31,4384.127,4437.575,4383.464,4436.61,38314028800,169984403314368.0,2015-02-16
32,4451.68,4476.742,4451.084,4468.303,37042374400,165516552658643.2,2015-02-17
33,4478.624,4478.624,4421.305,4436.94,37929126400,168289258089216.0,2015-02-25
34,4432.061,4514.122,4422.449,4512.461,45931824000,207265564458864.0,2015-02-26
35,4512.463,4549.662,4509.316,4540.135,47291404800,214709362131648.0,2015-02-27
36,4574.928,4608.109,4547.203,4607.945,57814547200,266406253697503.97,2015-03-02
37,4589.022,4598.501,4534.208,4537.468,62328256000,282812467095808.0,2015-03-03
38,4540.6,4590.232,4536.881,4589.902,50175174400,230299133328908.8,2015-03-04
39,4580.059,4586.35,4546.284,4575.789,53319936000,243980776629504.0,2015-03-05
40,4580.137,4593.33,4530.542,4535.455,47211753600,214126783923888.0,2015-03-06
41,4508.981,4606.424,4480.802,4604.999,49365923200,227330026970076.78,2015-03-09
42,4597.768,4649.964,4593.066,4624.647,46959097600,217169249838547.2,2015-03-10
43,4628.554,4655.943,4610.878,4625.728,46530736000,215238528375808.0,2015-03-11
44,4649.263,4664.261,4636.409,4661.811,54272083200,253006194454675.2,2015-03-12
45,4674.08,4711.142,4673.974,4710.852,49676598400,234019102925836.78,2015-03-13
46,4741.938,4841.606,4734.419,4841.606,63859718400,309183595763750.4,2015-03-16
47,4872.132,4919.018,4851.135,4908.645,81851104000,401778012394080.06,2015-03-17
48,4917.841,5012.061,4909.136,5012.041,85051769600,426282956357753.6,2015-03-18
49,5016.048,5034.687,4979.343,5027.449,83145286400,418008686966393.56,2015-03-19
50,5037.037,5097.507,5027.657,5089.961,79794195200,406149341594387.25,2015-03-20
51,5123.678,5209.12,5123.678,5208.891,84390124800,439578961559596.75,2015-03-23
52,5223.731,5238.985,5077.38,5231.421,100876652800,527728239867628.8,2015-03-24
53,5225.61,5275.584,5193.827,5241.517,83784288000,439156769884896.0,2015-03-25
54,5217.507,5278.027,5166.463,5212.772,77937478400,406270305154124.8,2015-03-26
55,5213.546,5270.222,5195.74,5256.351,63177145600,332081252451705.56,2015-03-27
56,5279.644,5362.047,5279.644,5350.514,84231315200,450680831216012.8,2015-03-30
57,5392.411,5408.913,5321.021,5335.489,85831059200,457950672219948.75,2015-03-31
58,5340.983,5459.499,5337.007,5448.165,71869580800,391557334679232.0,2015-04-01
59,5479.64,5509.47,5429.937,5509.212,78147129600,430529104157875.25,2015-04-02
60,5485.504,5590.945,5465.769,5590.937,77568307200,433679518751846.4,2015-04-03
61,5634.745,5711.901,5629.412,5711.517,89116979200,508993141689446.4,2015-04-07
62,5734.899,5743.279,5591.372,5706.098,95529862400,545102756780915.2,2015-04-08
63,5720.622,5721.473,5526.254,5660.241,90590982400,512766792810758.4,2015-04-09
